pedido_id,fecha_pedido,mesero_id,mesa_id,total_pedido
PED001,10/10/2025 12:03,MES123,M05,37.50
PED002,10/10/2025 12:07,MES108,M12,28.00
PED003,10/10/2025 12:10,MES145,M03,41.00
PED004,10/10/2025 12:14,MES132,M07,33.50
PED005,10/10/2025 12:18,MES119,M02,26.00
PED006,11/10/2025 12:21,MES101,M09,35.00
PED007,11/10/2025 12:25,MES134,M14,42.50
PED008,11/10/2025 12:29,MES156,M06,30.00
PED009,11/10/2025 12:33,MES167,M11,38.50
PED010,11/10/2025 12:37,MES178,M08,27.00
PED011,11/10/2025 12:41,MES115,M01,36.00
PED012,11/10/2025 12:45,MES129,M10,39.50
PED013,11/10/2025 12:49,MES138,M04,31.00
PED014,11/10/2025 12:53,MES121,M13,34.50
PED015,11/10/2025 12:57,MES142,M15,29.00
PED016,11/10/2025 13:01,MES110,M03,40.00
PED017,12/10/2025 13:05,MES125,M07,32.50
PED018,12/10/2025 13:09,MES137,M02,28.50
PED019,12/10/2025 13:13,MES149,M06,36.50
PED020,12/10/2025 13:17,MES160,M12,33.00
PED021,12/10/2025 13:21,MES173,M08,27.50
PED022,12/10/2025 13:25,MES186,M05,38.00
PED023,12/10/2025 13:29,MES198,M10,30.50
PED024,12/10/2025 13:33,MES111,M01,35.50
PED025,12/10/2025 13:37,MES122,M04,41.50
PED026,12/10/2025 13:41,MES133,M09,26.50
PED027,13/10/2025 13:45,MES144,M13,39.00
PED028,13/10/2025 13:49,MES155,M15,31.50
PED029,13/10/2025 13:53,MES166,M06,37.00
PED030,13/10/2025 13:57,MES177,M11,29.50
PED031,13/10/2025 14:01,MES188,M03,34.00
PED032,13/10/2025 14:05,MES199,M07,40.50
PED033,13/10/2025 14:09,MES112,M02,32.00
PED034,13/10/2025 14:13,MES123,M14,36.50
PED035,13/10/2025 14:17,MES134,M08,28.00
PED036,13/10/2025 14:21,MES145,M05,39.50
PED037,13/10/2025 14:25,MES156,M10,30.00
PED038,13/10/2025 14:29,MES167,M01,35.00
PED039,14/10/2025 14:33,MES178,M04,42.00
PED040,14/10/2025 14:37,MES115,M09,27.50
PED041,14/10/2025 14:41,MES129,M13,33.50
PED042,14/10/2025 14:45,MES138,M15,38.00
PED043,14/10/2025 14:49,MES121,M06,31.00
PED044,14/10/2025 14:53,MES142,M11,36.50
PED045,14/10/2025 14:57,MES110,M03,29.00
PED046,14/10/2025 15:01,MES125,M07,40.00
PED047,14/10/2025 15:05,MES137,M02,32.50
PED048,14/10/2025 15:09,MES149,M14,28.50
PED049,14/10/2025 15:13,MES160,M08,36.50
PED050,14/10/2025 15:17,MES177,M05,35.50
PED001,16/10/2025 14:30,MES123,M05,10.50
PED001,16/10/2025 14:37,MES123,M05,12.00
PED001,16/10/2025 14:41,MES123,M05,11.00
PED051,16/10/2025 15:03,MES123,M05,25.50
PED052,16/10/2025 15:07,MES123,M05,8.00
PED053,16/10/2025 15:07,MES123,M05,76.50
PED054,16/10/2025 15:13,MES123,M05,12.00
PED055,16/10/2025 15:13,MES123,M05,12.00
PED056,16/10/2025 15:13,MES123,M05,12.00
PED057,16/10/2025 15:16,MES123,M05,13.00
PED058,16/10/2025 15:17,MES123,M05,49.50
PED059,16/10/2025 15:19,MES123,M05,49.50
PED060,16/10/2025 15:19,MES123,M05,11.00
PED061,16/10/2025 15:34,MES123,M05,16.50
PED062,16/10/2025 15:34,MES123,M05,12.00
PED063,16/10/2025 15:42,MES123,M05,37.00
PED064,16/10/2025 16:19,MES123,M05,33.50
PED065,16/10/2025 16:34,MES123,M05,25.50
PED066,16/10/2025 16:35,MES123,M05,80.00
PED067,16/10/2025 18:11,MES123,M05,37.50
PED068,16/10/2025 18:13,MES123,M05,71.50
PED069,16/10/2025 18:45,MES123,M05,43.50
PED070,16/10/2025 18:49,MES123,M05,52.50
